Date : 2023-01-17 21:02:22
Directory : /Users/omidshabab/Documents/GitHub/landina_coupon
Total : 127 files,  11889 codes, 308 comments, 723 blanks, all 12920 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Dart            |         66 |      9,837 |         99 |        459 |     10,395 |
| XML             |         21 |        797 |         48 |         21 |        866 |
| C++             |         16 |        516 |        107 |        170 |        793 |
| JSON            |          9 |        428 |          0 |          6 |        434 |
| YAML            |          3 |        105 |         24 |         15 |        144 |
| Gradle          |          3 |         96 |         11 |         23 |        130 |
| Swift           |          4 |         52 |          3 |         12 |         67 |
| HTML            |          1 |         37 |         16 |          6 |         59 |
| Markdown        |          2 |         13 |          0 |          9 |         22 |
| Java Properties |          2 |          8 |          0 |          2 |         10 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                               | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                  |        127 |     11,889 |        308 |        723 |     12,920 |
| . (Files)                                                                                                                          |          4 |        115 |         24 |         22 |        161 |
| android                                                                                                                            |         13 |        248 |         57 |         34 |        339 |
| android (Files)                                                                                                                    |          3 |         40 |          2 |         10 |         52 |
| android/app                                                                                                                        |          9 |        203 |         55 |         23 |        281 |
| android/app (Files)                                                                                                                |          2 |        141 |          9 |         14 |        164 |
| android/app/src                                                                                                                    |          7 |         62 |         46 |          9 |        117 |
| android/app/src/debug                                                                                                              |          1 |          4 |          4 |          1 |          9 |
| android/app/src/main                                                                                                               |          5 |         54 |         38 |          7 |         99 |
| android/app/src/main (Files)                                                                                                       |          1 |         28 |          6 |          1 |         35 |
| android/app/src/main/res                                                                                                           |          4 |         26 |         32 |          6 |         64 |
| android/app/src/main/res/drawable                                                                                                  |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/drawable-v21                                                                                              |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/values                                                                                                    |          1 |          9 |          9 |          1 |         19 |
| android/app/src/main/res/values-night                                                                                              |          1 |          9 |          9 |          1 |         19 |
| android/app/src/profile                                                                                                            |          1 |          4 |          4 |          1 |          9 |
| android/gradle                                                                                                                     |          1 |          5 |          0 |          1 |          6 |
| android/gradle/wrapper                                                                                                             |          1 |          5 |          0 |          1 |          6 |
| assets                                                                                                                             |          2 |        103 |          0 |          2 |        105 |
| assets/svg                                                                                                                         |          2 |        103 |          0 |          2 |        105 |
| ios                                                                                                                                |         13 |        375 |          2 |         13 |        390 |
| ios (Files)                                                                                                                        |          1 |          7 |          0 |          0 |          7 |
| ios/Flutter                                                                                                                        |          1 |         26 |          0 |          1 |         27 |
| ios/Runner                                                                                                                         |          9 |        326 |          2 |         10 |        338 |
| ios/Runner (Files)                                                                                                                 |          4 |        117 |          0 |          4 |        121 |
| ios/Runner.xcodeproj                                                                                                               |          1 |          8 |          0 |          1 |          9 |
| ios/Runner.xcodeproj/project.xcworkspace                                                                                           |          1 |          8 |          0 |          1 |          9 |
| ios/Runner.xcodeproj/project.xcworkspace/xcshareddata                                                                              |          1 |          8 |          0 |          1 |          9 |
| ios/Runner.xcworkspace                                                                                                             |          1 |          8 |          0 |          1 |          9 |
| ios/Runner.xcworkspace/xcshareddata                                                                                                |          1 |          8 |          0 |          1 |          9 |
| ios/Runner/Assets.xcassets                                                                                                         |          3 |        148 |          0 |          4 |        152 |
| ios/Runner/Assets.xcassets/AppIcon.appiconset                                                                                      |          1 |        122 |          0 |          1 |        123 |
| ios/Runner/Assets.xcassets/LaunchImage.imageset                                                                                    |          2 |         26 |          0 |          3 |         29 |
| ios/Runner/Base.lproj                                                                                                              |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                                                |         67 |      9,907 |         89 |        454 |     10,450 |
| lib (Files)                                                                                                                        |          2 |        268 |         24 |         30 |        322 |
| lib/constants                                                                                                                      |          7 |        309 |          4 |         37 |        350 |
| lib/l10n                                                                                                                           |          2 |         84 |          0 |          2 |         86 |
| lib/models                                                                                                                         |          4 |        133 |          0 |         15 |        148 |
| lib/services                                                                                                                       |          6 |        498 |         31 |         73 |        602 |
| lib/ui                                                                                                                             |         45 |      8,612 |         30 |        296 |      8,938 |
| lib/ui/components                                                                                                                  |          4 |        933 |          4 |         18 |        955 |
| lib/ui/components/categories                                                                                                       |          2 |         76 |          0 |          6 |         82 |
| lib/ui/components/comments                                                                                                         |          1 |        165 |          0 |          4 |        169 |
| lib/ui/components/coupon                                                                                                           |          1 |        692 |          4 |          8 |        704 |
| lib/ui/extensions                                                                                                                  |          1 |          5 |          0 |          1 |          6 |
| lib/ui/pages                                                                                                                       |         30 |      6,716 |         23 |        229 |      6,968 |
| lib/ui/pages/account                                                                                                               |         22 |      5,160 |         17 |        170 |      5,347 |
| lib/ui/pages/account (Files)                                                                                                       |          1 |        599 |          2 |         16 |        617 |
| lib/ui/pages/account/contacts                                                                                                      |          1 |         70 |          0 |          5 |         75 |
| lib/ui/pages/account/profile                                                                                                       |          7 |      2,267 |          6 |         68 |      2,341 |
| lib/ui/pages/account/profile (Files)                                                                                               |          2 |      1,105 |          1 |         27 |      1,133 |
| lib/ui/pages/account/profile/analytics                                                                                             |          3 |        693 |          4 |         27 |        724 |
| lib/ui/pages/account/profile/analytics (Files)                                                                                     |          1 |        100 |          2 |          6 |        108 |
| lib/ui/pages/account/profile/analytics/followers                                                                                   |          1 |        292 |          1 |         12 |        305 |
| lib/ui/pages/account/profile/analytics/followings                                                                                  |          1 |        301 |          1 |          9 |        311 |
| lib/ui/pages/account/profile/chats                                                                                                 |          1 |         67 |          0 |          5 |         72 |
